ID,Community
Babiš,0
Okamura,0
Fiala,1
Zeman,0
Sobotka,0
Hamáček,0
Kalousek,0
Putin,0
Le Pen,2
Salvini,2
Merkelová,2
Orbán,2
Schillerová,0
Trump,0
Havlíček,0
Bělobrádek,0
Havel,0
Maláčová,0
Vojtěch,0
David,3
Klaus,0
Bartoš,0
Blatný,0
Soros,2
Macron,2
Hitler,2
Wilderse,2
Masaryk,0
Juncker,2
Rakušan,1
Prymula,0
Schwarzenberg,0
Von der Leyen,2
Foldyna,2
Jourová,0
Petříček,0
Moravec,0
Šafránková,0
Jurečka,1
Volný,0
Pekarová,1
Dvořák,0
Erdogan,0
Adamová,1
Hřib,0
Vystrčil,0
Gazdík,1
Bakala,0
Svoboda,5
Gott,0
Polčák,5
Feri,0
Nos,3
Křeček,3
Zaorálek,0
Šojdrová,5
Hrnčíř,3
Němcová,0
Johnson,0
Kovanda,1
Benešová,0
Makron,2
BIDEN,0
Brabec,0
Rakoušan,1
Filip,0
Stanjura,1
Koněv,1
Zdechovský,5
Faltýnek,0
Blaško,3
Novák,3
Doležal,3
Ťok,0
Dostálová,0
Pospíšil,5
Farský,1
Duka,0
Klaus ml.,0
Michálek,6
Novotný,3
Vondráček,0
Stropnický,0
Plaga,0
Stalin,2
Herman,0
Metnar,0
Bakalův,0
Černochová,1
Charanzová,5
Obama,0
Poche,5
Holík,1
Kobza,1
Kreml,0
Dlabajová,5
Pelikán,0
Ježek,5
Arenberger,0
Pavel,0
Chovanec,0
Šlachta,0
Hahnova,3
Niedermayer,5
Teličko,5
Kurz,2
Staněk,0
Paroubek,0
Staňka,0
Hyťhová,0
Mynář,0
Brežněv,0
Vícha,0
Štětina,5
Szijjártó,0
Šmarda,0
Dienstbier,0
Clinton,0
Konečný,5
Chytra,1
Morawiecki,2
Válková,0
Lipavský,1
Sáňka,7
Veleba,1
Špidla,0
Hašek,0
Šabatová,0
Bakalář,0
Kalouska,0
Ferjenčík,0
Rozumek,0
Ťoka,0
Verhofstadt,0
Soukup,0
Beneš,0
Wilder,2
Kolář,1
Maříková,0
Bašta,1
Brichta,1
Horák,3
Dopita,3
HENNER,3
Paul,3
Schmeidler,3
Atkinson,3
Gottwald,2
Bárta,1
Běrský,3
Pošarová,3
Wollner,1
Fridrich,0
Vašíček,3
Schubert,3
Lukeš,3
Čermák,3
Pupava,3
DICKFELD,3
Mitterwald,3
Vostenak,3
Hofer,2
Danna,1
Vyskočit,1
Kubičko,0
Redl,3
Válek,1
Síkela,1
Výborný,0
Zelenskyj,1
Hlubuček,1
Kupka,0
Pekar,1
Adam,1
Krejčíř,1
Skopeček,1
Bek,1
Janeček,1
Černoch,1
Válka,1
Rozvoral,1
Vondrák,1
Michalik,1
Langšádlová,1
Fremr,1
Štěpán,1
Becher,0
Brand,0
Kubera,0
Toman,0
Topolánek,0
Fischer,0
Drahoš,0
Nečas,0
Ovčáček,0
Jágr,0
Klause,0
Valachová,0
Pokorný,0
Grosse,0
Gross,0
Taber,0
Tabery,0
Bakalova,0
Dienstbiera,0
Johansson,2
Diallo,2
Tayyip Erdoğan,2
Petružálek,0
Rath,0
Jedlička,2
Palacký,2
Jandejsek,2
Hannan,2
Piketty,2
Matteo,2
Conte,2
Marx,2
Lenin,2
Matovič,2
Pellegrini,2
Biden,0
Floyd,0
Clintonovou,0
Clintonové,0
Hnilička,0
Nacher,0
Dzurilla,0
Tomin,0
Schneider,0
Jakl,3
Krpálek,3
Švarc,3
Kocman,3
Kula,3
Zahradníček,3
Pán,3
Valsamisová,3
Kufa,3
Nimrichter,3
Hauzner,3
Pajgerová,3
Vraj,3
Obdržálek,3
Kovář,0
Šípový,0
Michel,2
Lipovský,0
Španěl,3
Pekarová Adamová,1
Bojko,0
Sehnalová,5
Keller,5
POC,5
Kohlíček,5
Maštálek,5
Šabatový,3
Křečkovi,3
Matocha,0
Koněvovi,1
Kraus,6
Němec,6
Peksa,6
Tenzor,6
Mahrika,6
Heydrich,8
Kubiš,8
Gabčík,8
Posselt,0
jaklo,3
Konečné,5
Shehadeh,7
Lhoťan,7
Alrawi,7
Kobulnický,7
Bublík,8
Hrubý,8
Valčík,8
Kurás,4
Kurase,4
Marksa,0
