tomio-okamura,SPD
miroslav-kalousek,TOP 09
lubomir-volny,Volny blok
andrej-babis,ANO
petr-fiala,ODS
alena-schillerova,ANO
pavel-belobradek,KDU-ÈSL
karel-havlicek,ANO
adam-vojtech,ANO
alena-gajduskova,ÈSSD
tomas-prouza,ÈSSD
milos-zeman,SPO
jiri-dolejs,KSÈM
miroslav-antl,ÈSSD
marek-zenisek,TOP 09
marian-jurecka,KDU-ÈSL
martin-kolovratnik,ANO
zdenek-hrib,Piráti
jan-zahradil,ODS
patrik-nacher,ANO
michaela-sojdrova,KDU-ÈSL
jan-bartosek,KDU-ÈSL
jan-skopecek,ODS
zuzana-majerova-zahradnikova,Trikolóra
jan-hamacek,ÈSSD
mikulas-peksa,Piráti
barbora-koranova,ANO
radim-fiala,SPD
tomas-martinek,Piráti
jan-cizinsky,KDU-ÈSL
tomas-zdechovsky,KDU-ÈSL
ludek-niedermayer,TOP 09
katerina-valachova,ÈSSD
marek-vyborny,KDU-ÈSL
alexandra-udzenija,ODS
radek-vondracek,ANO
marketa-adamova,TOP 09
lukas-wagenknecht,Piráti
vit-rakusan,STAN
vladimir-kremlik,ANO
vaclav-klaus,ODS
olga-richterova,Piráti
michal-kucera,ODS
jan-hrncir,SPD
jana-cernochova,ODS
dominik-feri,TOP 09
jan-lipavsky,Piráti
tomas-golan,ODS
jiri-drahos,STAN
stanislav-blaha,ODS
mikulas-ferjencik,Piráti
jan-kobza,SPD
ivan-bartos,Piráti
jiri-pospisil,TOP 09
ondrej-profant,Piráti
vaclav-laska,Senat 21
jana-vildumetzova,ANO
milos-vystrcil,ODS
petr-hlubucek,STAN
petr-gazdik,STAN
tomas-macura,ANO
jaroslav-polacek,ODS
pavel-fischer,Nezaøazený
lukas-semerak,Ostravak - hnutí obèanù
martin-kupka,ODS
petr-hladik,KDU-ÈSL
zdenek-ondracek,KSÈM
vlastimil-valek,TOP 09
pavel-poc,ÈSSD
sarka-jelinkova,KDU-ÈSL
vojtech-munzar,ODS
veronika-vrecionova,ODS
pavel-telicka,ANO
martina-dlabajova,ANO
marketa-gregorova,Piráti
tomas-czernin,TOP 09
marek-hilser,Nezaøazený
helena-langsadlova,TOP 09
radek-rozvoral,SPD
marek-novak,ANO
jakub-janda,ODS
renata-chmelova,STAN
stanislav-polcak,STAN
olga-sehnalova,ÈSSD
david-smoljak,STAN
lubomir-zaoralek,ÈSSD
vera-kovarova,STAN
ladislav-oklestek,ANO
veslav-michalik,STAN
hana-zakova,STAN
lukas-otys,STAN
jaroslav-foldyna,ÈSSD
antonin-stanek,ÈSSD
radek-koten,SPD
miluse-horska,KDU-ÈSL
frantisek-kopriva,Piráti
herbert-pavera,TOP 09
frantisek-elfmark,Piráti
zdenek-nytra,ODS
jiri-vosecky,STAN
