name,avg2019
adam-vojtech,5.537532995175442
alena-gajduskova,5.361984035679033
alena-schillerova,5.414229653562624
alexandra-udzenija,5.293233406433198
andrej-babis,5.282222347215589
antonin-stanek,5.672409527253478
barbora-koranova,5.210255557741314
david-smoljak,5.2368835168599075
dominik-feri,5.252554521730886
frantisek-kopriva,5.762211489924815
hana-zakova,5.24491162596463
helena-langsadlova,5.3731527550525815
herbert-pavera,5.035396858396188
ivan-bartos,5.503406706550435
jakub-janda,5.236664683167072
jan-bartosek,5.253074853579227
jan-cizinsky,5.12381581673137
jan-hamacek,5.3441037690545174
jan-hrncir,5.310116489272932
jan-kobza,5.392924201826531
jan-lipavsky,5.618844695338857
jan-skopecek,5.363569427393048
jan-zahradil,5.388818554715185
jana-cernochova,5.24727384409207
jana-vildumetzova,5.35705124947022
jaroslav-foldyna,5.407578459339877
jaroslav-polacek,5.079087516127207
jiri-dolejs,5.556057761305084
jiri-drahos,5.435939944264655
jiri-pospisil,5.264380568317591
jiri-vosecky,5.237207585397825
karel-havlicek,5.63284767860388
katerina-valachova,5.182779505851526
ladislav-oklestek,5.288420412292923
lubomir-volny,5.3866697637550285
lubomir-zaoralek,5.332145417604136
ludek-niedermayer,5.003884446598465
lukas-otys,4.955328211672087
lukas-semerak,5.099296900132641
lukas-wagenknecht,5.460771061721393
marek-hilser,5.310897312950536
marek-novak,5.39999317858908
marek-vyborny,5.2780299658081775
marek-zenisek,4.985016462926546
marian-jurecka,5.161287819163353
marketa-adamova,5.251038373778234
marketa-gregorova,5.09542633382457
martin-kolovratnik,5.1645768618757835
martin-kupka,5.324580113408506
martina-dlabajova,5.544030686947855
michaela-sojdrova,5.511641686483914
michal-kucera,5.176423721363823
mikulas-ferjencik,5.290420090705936
mikulas-peksa,5.498247404635371
milos-vystrcil,5.315303135215579
milos-zeman,5.614401433143279
miloslava-vostra,5.069740510466199
miluse-horska,5.231819205595354
miroslav-antl,5.492699476080996
miroslav-kalousek,5.358484796160337
olga-richterova,5.554260410515412
olga-sehnalova,5.450518760542237
ondrej-profant,5.365283051243414
patrik-nacher,5.165210260989881
pavel-belobradek,5.621623767626304
pavel-fischer,5.432987729858867
pavel-poc,5.53626758963147
pavel-telicka,5.200786655324118
petr-fiala,5.23487901145401
petr-gazdik,5.399555577169014
petr-hladik,5.191231683171905
petr-hlubucek,5.592856832519716
radek-koten,5.22397396803491
radek-rozvoral,5.850678197911711
radek-vondracek,5.509636618305909
radim-fiala,5.350380855011001
renata-chmelova,5.373177028593458
sarka-jelinkova,5.412628411019873
stanislav-blaha,4.937549254510983
stanislav-polcak,5.332314672768373
tomas-czernin,5.192725111780216
tomas-golan,5.1804198662813565
tomas-macura,5.409028825438082
tomas-martinek,5.723465614976075
tomas-prouza,5.3135027622910975
tomas-zdechovsky,5.568752419514225
tomio-okamura,5.566043404838434
vaclav-klaus,4.925186807298481
vaclav-laska,5.041973558425768
vera-kovarova,5.097525969942911
veronika-vrecionova,5.299020438026673
veslav-michalik,5.241299042717821
vit-rakusan,5.143051941586489
vladimir-kremlik,5.499309628207914
vlastimil-valek,5.251096364978966
vojtech-munzar,5.29718796112466
zdenek-hrib,5.489713569050693
zdenek-nytra,5.260939751306987
zdenek-ondracek,4.793921842388034
