andrej-babis,ANO 2011
tomio-okamura,SPD
lubomir-volny,Volny blok
adam-vojtech,ANO 2011
miroslav-kalousek,TOP 09
alena-schillerova,ANO 2011
pavel-belobradek,KDU-CSL
petr-fiala,ODS
karel-havlicek,ANO 2011
milos-zeman,SPO
alena-gajduskova,CSSD
tomas-prouza,CSSD
jiri-dolejs,KSCM
marek-zenisek,TOP 09
marian-jurecka,KDU-CSL
michaela-sojdrova,KDU-CSL
miroslav-antl,CSSD
jan-zahradil,ODS
martin-kolovratnik,ANO 2011
mikulas-peksa,Pirati
zdenek-hrib,Pirati
jan-skopecek,ODS
patrik-nacher,ANO 2011
jan-hamacek,CSSD
jan-bartosek,KDU-CSL
zuzana-majerova-zahradnikova,Trikolora
tomas-martinek,Pirati
tomas-zdechovsky,KDU-CSL
lukas-wagenknecht,Pirati
barbora-koranova,ANO 2011
radim-fiala,SPD
jan-lipavsky,Pirati
dominik-feri,TOP 09
marek-vyborny,KDU-CSL
jan-cizinsky,KDU-CSL
katerina-valachova,CSSD
ludek-niedermayer,TOP 09
alexandra-udzenija,ODS
jan-kobza,SPD
marketa-adamova,TOP 09
radek-vondracek,ANO 2011
vladimir-kremlik,ANO 2011
ivan-bartos,Pirati
vit-rakusan,STAN
vaclav-klaus,ODS
olga-richterova,Pirati
ondrej-profant,Pirati
jana-cernochova,ODS
michal-kucera,ODS
pavel-poc,CSSD
tomas-golan,ODS
jan-hrncir,SPD
martina-dlabajova,ANO 2011
petr-hlubucek,STAN
stanislav-blaha,ODS
vaclav-laska,Senat 21
tomas-macura,ANO 2011
jiri-drahos,STAN
mikulas-ferjencik,Pirati
helena-langsadlova,TOP 09
jiri-pospisil,TOP 09
milos-vystrcil,ODS
sarka-jelinkova,KDU-CSL
petr-gazdik,STAN
pavel-fischer,Nezavisly
