Politician,Community
adam-vojtech,1
vlastimil-valek,1
alena-gajduskova,1
alexandra-udzenija,5
jan-bartosek,1
jan-hamacek,1
alena-schillerova,1
andrej-babis,1
jan-skopecek,5
karel-havlicek,1
petr-fiala,5
marketa-adamova,5
martina-dlabajova,1
petr-hladik,3
jiri-vosecky,3
antonin-stanek,3
lubomir-zaoralek,0
herbert-pavera,3
hana-zakova,3
barbora-koranova,0
vit-rakusan,0
marek-vyborny,0
milos-vystrcil,0
david-smoljak,0
marek-hilser,0
tomas-golan,0
dominik-feri,0
zdenek-nytra,0
patrik-nacher,2
frantisek-kopriva,4
pavel-telicka,4
ivan-bartos,5
zuzana-majerova-zahradnikova,3
ladislav-oklestek,3
helena-langsadlova,4
jan-lipavsky,4
pavel-fischer,4
marek-zenisek,4
miluse-horska,0
stanislav-blaha,3
jakub-janda,3
martin-kupka,5
mikulas-peksa,4
jana-cernochova,2
tomas-czernin,0
jan-cizinsky,3
zdenek-hrib,3
renata-chmelova,3
petr-hlubucek,3
marek-novak,3
jan-hrncir,4
radim-fiala,4
tomio-okamura,4
jan-kobza,2
tomas-zdechovsky,2
pavel-belobradek,2
miroslav-kalousek,2
jiri-drahos,0
ludek-niedermayer,4
mikulas-ferjencik,5
jan-zahradil,4
stanislav-polcak,4
marketa-gregorova,4
jana-vildumetzova,3
jaroslav-foldyna,2
jaroslav-polacek,5
jiri-dolejs,2
michal-kucera,1
jiri-pospisil,4
lukas-wagenknecht,4
veslav-michalik,3
katerina-valachova,1
sarka-jelinkova,1
olga-richterova,2
lubomir-volny,2
tomas-prouza,1
lukas-otys,3
vaclav-klaus,3
lukas-semerak,1
tomas-macura,3
marian-jurecka,2
vera-kovarova,2
petr-gazdik,2
zdenek-ondracek,0
martin-kolovratnik,3
olga-sehnalova,1
michaela-sojdrova,0
tomas-martinek,2
milos-zeman,3
radek-vondracek,3
miloslava-vostra,1
miroslav-antl,3
pavel-poc,1
veronika-vrecionova,1
ondrej-profant,5
vaclav-laska,2
radek-koten,1
radek-rozvoral,4
vladimir-kremlik,3
vojtech-munzar,0
